Filename,SourceFile,Phi (Pitch),Kappa (Yaw),Omega (Roll),Latitude,Longitude,Altitude
IRX_2064.JPG,/mnt/d/DCIM/107MEDIA/IRX_2064.JPG,,,,"40 deg 31' 25.61"" N","74 deg 27' 36.41"" W",50.8 m Above Sea Level
MAX_2064.JPG,/mnt/d/DCIM/107MEDIA/MAX_2064.JPG,,,,"40 deg 31' 25.61"" N","74 deg 27' 36.41"" W",50.8 m Above Sea Level
MIX_2065.JPG,/mnt/d/DCIM/107MEDIA/MIX_2065.JPG,,,,"40 deg 31' 25.61"" N","74 deg 27' 36.41"" W",50.8 m Above Sea Level
IRX_2065.JPG,/mnt/d/DCIM/107MEDIA/IRX_2065.JPG,,,,"40 deg 31' 25.61"" N","74 deg 27' 36.41"" W",50.8 m Above Sea Level
MAX_2065.JPG,/mnt/d/DCIM/107MEDIA/MAX_2065.JPG,,,,"40 deg 31' 25.62"" N","74 deg 27' 36.41"" W",50.8 m Above Sea Level
MIX_2066.JPG,/mnt/d/DCIM/107MEDIA/MIX_2066.JPG,,,,"40 deg 31' 25.62"" N","74 deg 27' 36.41"" W",50.8 m Above Sea Level
IRX_2066.JPG,/mnt/d/DCIM/107MEDIA/IRX_2066.JPG,,,,"40 deg 31' 25.62"" N","74 deg 27' 36.41"" W",50.8 m Above Sea Level
MAX_2066.JPG,/mnt/d/DCIM/107MEDIA/MAX_2066.JPG,,,,"40 deg 31' 25.62"" N","74 deg 27' 36.41"" W",50.8 m Above Sea Level
MIX_2067.JPG,/mnt/d/DCIM/107MEDIA/MIX_2067.JPG,,,,"40 deg 31' 25.62"" N","74 deg 27' 36.44"" W",50.8 m Above Sea Level
IRX_2067.JPG,/mnt/d/DCIM/107MEDIA/IRX_2067.JPG,,,,"40 deg 31' 25.62"" N","74 deg 27' 36.44"" W",50.8 m Above Sea Level
MAX_2067.JPG,/mnt/d/DCIM/107MEDIA/MAX_2067.JPG,,,,"40 deg 31' 25.62"" N","74 deg 27' 36.46"" W",50.9 m Above Sea Level
MIX_2068.JPG,/mnt/d/DCIM/107MEDIA/MIX_2068.JPG,,,,"40 deg 31' 25.62"" N","74 deg 27' 36.46"" W",50.9 m Above Sea Level
IRX_2068.JPG,/mnt/d/DCIM/107MEDIA/IRX_2068.JPG,,,,"40 deg 31' 25.62"" N","74 deg 27' 36.46"" W",50.9 m Above Sea Level
MAX_2068.JPG,/mnt/d/DCIM/107MEDIA/MAX_2068.JPG,,,,"40 deg 31' 25.64"" N","74 deg 27' 36.46"" W",50.9 m Above Sea Level
MIX_2069.JPG,/mnt/d/DCIM/107MEDIA/MIX_2069.JPG,,,,"40 deg 31' 25.64"" N","74 deg 27' 36.46"" W",50.9 m Above Sea Level
IRX_2069.JPG,/mnt/d/DCIM/107MEDIA/IRX_2069.JPG,,,,"40 deg 31' 25.64"" N","74 deg 27' 36.46"" W",50.9 m Above Sea Level
MAX_2069.JPG,/mnt/d/DCIM/107MEDIA/MAX_2069.JPG,,,,"40 deg 31' 25.65"" N","74 deg 27' 36.52"" W",50.9 m Above Sea Level
MIX_2070.JPG,/mnt/d/DCIM/107MEDIA/MIX_2070.JPG,,,,"40 deg 31' 25.65"" N","74 deg 27' 36.52"" W",50.9 m Above Sea Level
IRX_2070.JPG,/mnt/d/DCIM/107MEDIA/IRX_2070.JPG,,,,"40 deg 31' 25.65"" N","74 deg 27' 36.52"" W",50.9 m Above Sea Level
MAX_2070.JPG,/mnt/d/DCIM/107MEDIA/MAX_2070.JPG,,,,"40 deg 31' 25.66"" N","74 deg 27' 36.52"" W",50.9 m Above Sea Level
MIX_2071.JPG,/mnt/d/DCIM/107MEDIA/MIX_2071.JPG,,,,"40 deg 31' 25.66"" N","74 deg 27' 36.52"" W",50.9 m Above Sea Level
IRX_2071.JPG,/mnt/d/DCIM/107MEDIA/IRX_2071.JPG,,,,"40 deg 31' 25.66"" N","74 deg 27' 36.52"" W",50.9 m Above Sea Level
MAX_2071.JPG,/mnt/d/DCIM/107MEDIA/MAX_2071.JPG,,,,"40 deg 31' 25.66"" N","74 deg 27' 36.52"" W",50.9 m Above Sea Level
MIX_2072.JPG,/mnt/d/DCIM/107MEDIA/MIX_2072.JPG,,,,"40 deg 31' 25.68"" N","74 deg 27' 36.57"" W",50.9 m Above Sea Level
